stopplacecode,stopplacetype,validfrom,publicname,street,town,stopplaceindication,stopplacestatus,quaycode,quayname,quaytype,quaystatus,rd-x,rd-y,level,location,visuallyaccessible,disabledaccessible-tram,disabledaccessible-bus,disabledaccessible-metro,disabledaccessible-ferry,quayshapetype,baylength,embaymentwidth,bayentranceangles,bayexitangles,markedkerb,lift,guidelines,groundsurfaceindicator,tactilegroundsurfaceindicator,stopplaceaccessroute,kerbheight,boardingpositionwidth,alightingpositionwidth,liftedpartlength,narrowestpassagewidth,fulllengthguideline,guidelinestopplaceconnection,ramp,ramplength,rampwidth,heightwithenvironment,stopsign,audiobutton,stopsigntype,shelter,shelterpublicity,illuminatedstop,seatavailable,leantosupport,timetableinformation,infounit,routenetworkmap,passengerinformationdisplay,passengerinformationdisplaytype,bicycleparking,numberofbicycleplaces,bins,ovccico,ovccharging,remarks,mutationdate,stopplace_mutationdate,quay_mutationdate
NL:S:32001923,onstreetBus,2018-01-01T12:00:00Z,Okkernootstraat,Okkernootstraat,"Den Haag",,adapted,NL:Q:32001923,Okkernootstraat,regular,available,77502,453410,0,,Y,,N,,,haltehaven,3.00,1.00,5.00,5.00,true,false,true,true,true,true,0.18,1.30,1.30,9.00,1.30,false,true,false,,2.50,0.00,true,false,L03,true,false,true,true,false,true,true,true,true,2,false,0,true,false,false,,2018-01-08T15:04:31Z,2015-05-03T22:07:27Z,2018-11-28T17:09:04Z
NL:S:32001923,onstreetBus,2018-01-01T12:00:00Z,Okkernootstraat,Thorbeckelaan,"Den Haag",,adapted,NL:Q:32001924,Okkernootstraat,regular,available,77562,453421,0,,Y,,N,,,haltehaven,26.00,1.00,2.00,2.00,true,false,true,true,true,true,0.20,1.30,1.30,7.40,0.60,false,true,false,,2.00,0.10,true,false,L03,true,false,true,true,false,true,true,true,true,2,false,0,true,false,false,,2018-01-08T15:04:31Z,2015-05-03T22:07:27Z,2018-11-28T17:12:49Z
NL:S:32002101,onstreetTram,2018-01-01T12:00:00Z,"Laan van Meerdervoort",Conradkade,"Den Haag",,adapted,NL:Q:32002102,"Laan van Meerdervoort",regular,available,79402,455251,0,,Y,Y,,,,langshalte,4.00,,,,true,false,true,false,false,true,0.30,2.00,3.00,34.00,2.00,true,true,false,,1.80,0.00,true,false,L03,true,false,true,true,false,true,true,true,false,,false,0,true,false,false,,2018-01-08T15:04:34Z,2015-05-03T22:07:27Z,2018-01-08T15:04:34Z
NL:S:32002101,onstreetTram,2018-01-01T12:00:00Z,"Laan van Meerdervoort",Conradkade,"Den Haag",,adapted,NL:Q:32002101,"Laan van Meerdervoort",regular,available,79390,455269,0,,Y,Y,,,,langshalte,45.00,,,,true,false,true,false,false,true,0.35,5.00,5.00,40.00,2.00,true,false,false,,2.00,0.00,true,false,L03,true,false,true,true,false,true,true,true,false,,false,0,true,false,false,,2018-01-08T15:04:34Z,2015-05-03T22:07:27Z,2018-11-28T17:13:10Z
NL:S:32002103,onstreetTram,2018-01-01T12:00:00Z,Weimarstraat,Beeklaan,"Den Haag",,adapted,NL:Q:32002103,Weimarstraat,regular,available,79091,454735,0,,N,N,,,,langshalte,32.00,,,,false,false,false,false,false,false,0.10,1.20,1.20,30.00,1.08,false,false,false,,1.50,0.00,true,false,L03,true,false,true,true,false,true,true,true,false,2,false,0,true,false,false,,2018-01-08T15:04:34Z,2015-05-03T22:07:27Z,2018-11-28T17:13:42Z
NL:S:32002103,onstreetTram,2018-01-01T12:00:00Z,Weimarstraat,Beeklaan,"Den Haag",,adapted,NL:Q:32002104,Weimarstraat,regular,available,79101,454708,0,,N,N,,,,langshalte,33.00,,,,false,false,false,false,false,false,0.10,0.90,0.90,30.00,0.90,false,false,false,,0.80,0.00,true,false,L03,true,false,true,true,false,true,true,true,true,2,false,0,true,false,false,,2018-01-08T15:04:34Z,2015-05-03T22:07:27Z,2018-11-28T17:09:57Z
NL:S:32002216,onstreetTram,2018-01-01T12:00:00Z,Elandstraat,Elandstraat,"Den Haag",,adapted,NL:Q:32002216,Elandstraat,regular,available,80273,455251,0,,N,N,,,,langshalte,28.00,,,,false,false,false,false,false,false,0.10,2.00,1.20,28.00,1.00,false,false,false,,1.20,0.00,true,true,L03,true,false,true,true,false,true,true,true,false,4,true,10,true,false,false,,2018-01-08T15:04:36Z,2015-05-03T22:07:27Z,2018-11-28T17:12:38Z
NL:S:32002216,onstreetTram,2018-01-01T12:00:00Z,Elandstraat,Vondelstraat,"Den Haag",,adapted,NL:Q:32002217,Elandstraat,regular,available,80304,455246,0,,N,N,,,,langshalte,3.00,,,,false,false,false,false,false,false,0.10,0.60,0.90,30.00,0.60,false,false,false,,0.70,0.00,true,false,L03,true,false,true,true,false,true,true,true,false,,true,10,true,false,false,,2018-01-08T15:04:36Z,2015-05-03T22:07:27Z,2018-11-28T17:08:51Z
NL:S:32002307,combiTramBus,2018-01-01T12:00:00Z,Mauritskade,Alexanderstraat,"Den Haag",,adapted,NL:Q:32002307,Mauritskade,regular,available,80897,455757,0,,N,N,N,,,langshalte,47.00,,,,true,false,false,false,false,false,0.12,1.00,1.00,47.00,1.20,false,false,false,,1.20,0.12,true,false,L03,true,true,true,true,false,true,true,true,true,2,false,0,true,false,false,,2018-01-08T15:04:37Z,2015-05-03T22:07:27Z,2018-01-08T15:04:37Z
NL:S:32002307,combiTramBus,2018-01-01T12:00:00Z,Mauritskade,Alexanderstraat,"Den Haag",,adapted,NL:Q:32002308,Mauritskade,regular,available,80918,455716,0,,N,N,N,,,langshalte,5.00,,,,false,false,false,false,false,false,0.10,1.10,1.10,50.00,0.60,false,false,false,,1.20,0.12,true,false,L03,true,false,true,false,false,true,true,true,true,2,false,0,true,false,false,,2018-01-08T15:04:37Z,2015-05-03T22:07:27Z,2018-01-08T15:04:37Z
