stopplacecode,stopplacetype,validfrom,publicname,street,town,stopplaceindication,stopplacestatus,quaycode,quayname,quaytype,quaystatus,rd-x,rd-y,level,location,visuallyaccessible,disabledaccessible-tram,disabledaccessible-bus,disabledaccessible-metro,disabledaccessible-ferry,quayshapetype,baylength,embaymentwidth,bayentranceangles,bayexitangles,markedkerb,lift,guidelines,groundsurfaceindicator,tactilegroundsurfaceindicator,stopplaceaccessroute,kerbheight,boardingpositionwidth,alightingpositionwidth,liftedpartlength,narrowestpassagewidth,fulllengthguideline,guidelinestopplaceconnection,ramp,ramplength,rampwidth,heightwithenvironment,stopsign,audiobutton,stopsigntype,shelter,shelterpublicity,illuminatedstop,seatavailable,leantosupport,timetableinformation,infounit,routenetworkmap,passengerinformationdisplay,passengerinformationdisplaytype,bicycleparking,numberofbicycleplaces,bins,ovccico,ovccharging,remarks,mutationdate,stopplace_mutationdate,quay_mutationdate
NL:S:31006501,onstreetBus,2018-01-01T12:00:00Z,Schaardijk,Toepad,Rotterdam,,adapted,NL:Q:31006501,Schaardijk,regular,available,96836,435644,0,Toepad,N,,N,,,langshalte,12.00,,,,false,false,false,false,false,false,0.10,1.50,1.50,,,false,false,false,,,,false,false,L03,false,false,false,false,false,false,false,false,false,0,false,,false,false,false,,2018-01-08T15:03:05Z,2015-05-03T22:09:02Z,2018-01-08T15:03:05Z
NL:S:31007140,onstreetBus,2017-07-19T11:41:00Z,"Garage Sluisjesdijk",,Rotterdam,,adapted,NL:Q:31007140,"Garage Sluisjesdijk",regular,expired,91332,434418,0,,Y,,Y,,,langshalte,12.00,,,,false,false,true,false,false,false,0.18,1.50,1.50,12.00,,false,false,false,,,,false,false,L03,false,false,false,false,false,false,false,false,false,0,false,,false,false,false,"Dit is het eindpunt van de bus. Terrein niet toegankelijk",2018-01-04T15:58:17Z,2015-05-03T22:09:03Z,2018-11-28T17:09:13Z
NL:S:31008002,metroStation,2018-01-01T12:00:00Z,Stadhuis,Coolsingel,Rotterdam,,adapted,NL:Q:31008002,Stadhuis,regular,available,92460,437613,0,Coolsingel,Y,,,Y,,langshalte,92.00,,,,true,true,true,true,true,false,1.30,3.00,3.00,92.00,1.00,true,true,true,16.00,1.00,0.00,true,false,L03,false,false,false,false,false,true,false,true,true,3,false,,true,true,true,"Niet gemeten",2018-01-08T15:03:22Z,2015-05-03T22:09:03Z,2018-01-08T15:03:22Z
NL:S:31008002,metroStation,2018-01-01T12:00:00Z,Stadhuis,Coolsingel,Rotterdam,,adapted,NL:Q:31008003,Stadhuis,regular,available,92460,437613,0,Coolsingel,Y,,,Y,,langshalte,92.00,,,,true,true,true,true,true,false,1.30,3.00,3.00,92.00,1.00,true,true,true,16.00,1.00,0.00,true,false,L03,false,false,false,false,false,true,false,true,true,3,false,,true,true,true,"Niet gemeten",2018-01-08T15:03:22Z,2015-05-03T22:09:03Z,2018-01-08T15:03:22Z
NL:S:31008006,metroStation,2018-01-01T12:00:00Z,Leuvehaven,Ketelaarsstraat,Rotterdam,,adapted,NL:Q:31008006,Leuvehaven,regular,available,92703,436522,0,Ketelaarsstraat,Y,,,Y,,langshalte,92.00,,,,true,true,true,true,true,false,1.30,3.00,3.00,92.00,1.00,true,true,true,16.00,1.00,0.00,true,false,L03,false,false,false,false,false,true,false,true,true,3,false,,true,true,true,"Niet gemeten",2018-01-08T15:03:23Z,2015-05-03T22:09:03Z,2018-01-08T15:03:22Z
NL:S:31008006,metroStation,2018-01-01T12:00:00Z,Leuvehaven,Ketelaarsstraat,Rotterdam,,adapted,NL:Q:31008007,Leuvehaven,regular,available,92703,436522,0,Ketelaarsstraat,Y,,,Y,,langshalte,92.00,,,,true,true,true,true,true,false,1.30,3.00,3.00,92.00,1.00,true,true,true,16.00,1.00,0.00,true,false,L03,false,false,false,false,false,true,false,true,true,3,false,,true,true,true,"Niet gemeten",2018-01-08T15:03:23Z,2015-05-03T22:09:03Z,2018-01-08T15:03:23Z
NL:S:31008102,metroStation,2018-01-01T12:00:00Z,Romeynshof,OMMOORDSEBUSBAAN,Rotterdam,,adapted,NL:Q:31008102,Romeynshof,regular,available,96952,441790,0,OMMOORDSEBUSBAAN,Y,,,Y,,langshalte,92.00,,,,true,false,true,true,true,false,1.30,3.00,3.00,92.00,1.00,true,true,true,16.00,1.00,0.00,true,false,L03,false,false,false,false,false,true,false,true,true,3,false,,true,true,true,"Niet gemeten",2018-01-08T15:03:29Z,2015-05-03T22:09:03Z,2018-01-08T15:03:29Z
NL:S:31008102,metroStation,2018-01-01T12:00:00Z,Romeynshof,OMMOORDSEBUSBAAN,Rotterdam,,adapted,NL:Q:31008103,Romeynshof,regular,available,96951,441780,0,OMMOORDSEBUSBAAN,Y,,,Y,,langshalte,92.00,,,,true,false,true,true,true,false,1.30,3.00,3.00,92.00,1.00,true,true,true,16.00,1.00,0.00,true,false,L03,false,false,false,false,false,true,false,true,true,3,false,,true,true,true,"Niet gemeten",2018-01-08T15:03:29Z,2015-05-03T22:09:03Z,2018-01-08T15:03:29Z
NL:S:31008104,metroStation,2018-01-01T12:00:00Z,"De Tochten","Toon van Vlietstraat",Rotterdam,,adapted,NL:Q:31008104,"De Tochten",regular,available,99427,442576,0,"Toon van Vlietstraat",Y,,,Y,,langshalte,92.00,,,,true,false,true,true,true,false,1.30,3.00,3.00,92.00,1.00,true,true,true,16.00,1.00,0.00,true,false,L03,false,false,false,false,false,true,false,true,true,3,false,,true,true,true,"Niet gemeten",2018-01-08T15:03:29Z,2015-05-03T22:09:03Z,2018-01-08T15:03:29Z
NL:S:31008104,metroStation,2018-01-01T12:00:00Z,"De Tochten","Toon van Vlietstraat",Rotterdam,,adapted,NL:Q:31008105,"De Tochten",regular,available,99420,442585,0,"Toon van Vlietstraat",Y,,,Y,,langshalte,92.00,,,,true,false,true,true,true,false,1.30,3.00,3.00,92.00,1.00,true,true,true,16.00,1.00,0.00,true,false,L03,false,false,false,false,false,true,false,true,true,3,false,,true,true,true,"Niet gemeten",2018-01-08T15:03:29Z,2015-05-03T22:09:03Z,2018-01-08T15:03:29Z
