stopplacecode,stopplacetype,validfrom,publicname,street,town,stopplaceindication,stopplacestatus,quaycode,quayname,quaytype,quaystatus,rd-x,rd-y,level,location,visuallyaccessible,disabledaccessible-tram,disabledaccessible-bus,disabledaccessible-metro,disabledaccessible-ferry,quayshapetype,baylength,embaymentwidth,bayentranceangles,bayexitangles,markedkerb,lift,guidelines,groundsurfaceindicator,tactilegroundsurfaceindicator,stopplaceaccessroute,kerbheight,boardingpositionwidth,alightingpositionwidth,liftedpartlength,narrowestpassagewidth,fulllengthguideline,guidelinestopplaceconnection,ramp,ramplength,rampwidth,heightwithenvironment,stopsign,audiobutton,stopsigntype,shelter,shelterpublicity,illuminatedstop,seatavailable,leantosupport,timetableinformation,infounit,routenetworkmap,passengerinformationdisplay,passengerinformationdisplaytype,bicycleparking,numberofbicycleplaces,bins,ovccico,ovccharging,remarks,mutationdate,stopplace_mutationdate,quay_mutationdate
NL:S:30006010,combiTramBus,2018-11-15T10:23:00Z,Corantijnstraat,Hoofdweg,Amsterdam,,adapted,NL:Q:30006010,Corantijnstraat,regular,available,118628,486070,0,Hoofdweg,N,N,N,,,langshalte,57.00,,,,false,false,false,false,false,false,0.09,1.15,1.50,57.00,1.00,false,false,true,1.00,1.50,0.10,true,true,L03,true,true,true,false,true,true,true,true,false,8,false,0,true,false,false,,2018-11-15T16:47:43Z,2015-05-03T22:08:58Z,2018-11-15T16:47:43Z
NL:S:30006010,combiTramBus,2018-11-15T10:23:00Z,Corantijnstraat,Corantijnstraat,Amsterdam,,adapted,NL:Q:30006013,Corantijnstraat,regular,available,118634,486122,0,Corantijnstraat,N,N,N,,,langshalte,57.00,,,,false,false,false,false,false,false,0.03,1.50,1.50,57.00,1.00,false,false,true,1.00,1.40,0.10,true,true,L03,true,true,true,false,true,true,true,true,true,6,false,,true,false,false,,2018-11-15T16:47:43Z,2015-05-03T22:08:58Z,2018-11-15T16:47:43Z
NL:S:30006021,combiTramBus,2018-11-15T10:23:00Z,Bilderdijkstraat,Kinkerstraat,Amsterdam,,adapted,NL:Q:30006021,Bilderdijkstraat,regular,available,119892,486705,0,Kinkerstraat,N,N,N,,,langshalte,43.00,,,,false,false,false,false,false,false,0.07,1.30,1.85,43.00,1.10,false,false,true,2.00,1.30,0.08,true,true,L03,true,true,true,false,true,true,true,true,true,3,false,0,true,false,false,,2018-11-15T16:47:44Z,2015-05-03T22:08:58Z,2018-11-15T16:47:44Z
NL:S:30006021,combiTramBus,2018-11-15T10:23:06Z,Bilderdijkstraat,Kinkerstraat,Amsterdam,,adapted,NL:Q:30006023,Bilderdijkstraat,regular,available,119959,486739,0,Kinkerstraat,Y,N,,,,langshalte,51.00,,,,true,false,true,false,false,true,0.20,1.80,2.45,30.00,1.70,true,true,true,3.50,1.60,0.07,true,true,L03,true,true,true,false,true,true,true,true,true,3,false,0,true,false,false,,2018-11-15T15:46:11Z,2015-05-03T22:08:58Z,2018-11-15T15:46:11Z
NL:S:30006021,combiTramBus,2018-11-15T10:23:00Z,Bilderdijkstraat,Bilderdijkstraat,Amsterdam,,adapted,NL:Q:30006024,Kinkerstraat,regular,available,119936,486701,0,Bilderdijkstraat,Y,Y,N,,,langshalte,39.00,,,,true,false,true,false,false,false,0.20,2.00,2.00,36.00,1.10,true,true,true,2.00,2.00,0.11,true,true,L03,true,true,true,false,true,true,true,true,true,3,false,,true,false,false,,2018-11-15T16:47:44Z,2015-05-03T22:08:58Z,2018-11-15T16:47:44Z
NL:S:30006021,combiTramBus,2018-11-15T10:23:06Z,Bilderdijkstraat,Bilderdijkstraat,Amsterdam,,adapted,NL:Q:30006025,Kinkerstraat,regular,available,119911,486745,0,Bilderdijkstraat,Y,N,,,,langshalte,37.00,,,,true,false,true,false,false,true,0.20,1.10,1.70,34.50,1.10,true,true,true,2.20,1.70,0.07,true,true,L03,true,true,true,false,true,true,true,true,true,,true,30,true,false,false,,2018-11-15T15:46:11Z,2015-05-03T22:08:58Z,2018-11-15T15:46:11Z
NL:S:30006059,onstreetTram,2018-11-15T10:23:06Z,Spiegelgracht,Weteringschans,Amsterdam,,adapted,NL:Q:30006059,Spiegelgracht,regular,available,120963,485987,0,Weteringschans,N,N,,,,langshalte,55.65,,0.01,,true,false,false,false,false,true,0.08,1.59,1.59,0.01,1.59,false,false,false,,,0.00,true,false,,false,false,true,true,false,true,false,true,false,,false,0,true,false,false,,2018-11-15T15:46:11Z,2015-05-03T22:08:58Z,2018-11-15T15:46:11Z
NL:S:30006059,onstreetTram,2018-11-15T10:23:06Z,Spiegelgracht,Weteringschans,Amsterdam,,adapted,NL:Q:30008080,Spiegelgracht,regular,available,120923,486027,0,Weteringschans,N,N,,,,langshalte,32.19,,0.01,,true,false,false,false,false,true,0.19,2.23,2.23,0.01,1.27,false,false,false,,,0.00,true,false,,false,false,true,true,false,true,false,true,false,,false,0,true,false,false,,2018-11-15T15:46:11Z,2015-05-03T22:08:58Z,2018-11-15T15:46:11Z
NL:S:30006067,onstreetTram,2018-11-15T10:23:06Z,Leidseplein,Marnixstraat,Amsterdam,,adapted,NL:Q:30006063,Leidseplein,regular,available,120500,486440,0,,Y,U,,,,langshalte,63.00,,,,true,false,true,true,true,false,0.22,1.60,2.30,52.00,1.60,true,true,true,4.00,2.30,0.10,true,true,L03,true,true,false,false,true,true,true,true,true,5,false,,true,false,false,,2018-11-15T15:46:43Z,2015-05-03T22:08:58Z,2018-11-15T15:46:43Z
NL:S:30006067,onstreetTram,2018-11-15T10:23:06Z,Leidseplein,Hirschpassage,Amsterdam,,adapted,NL:Q:30006062,Leidseplein,regular,available,120683,486245,0,Hirschpassage,N,N,,,,langshalte,72.00,,,,false,false,false,false,false,true,0.04,1.80,1.35,72.00,1.00,false,false,false,,,0.02,true,false,L03,true,true,true,true,false,true,true,true,false,,true,14,true,false,true,,2018-11-15T15:44:54Z,2015-05-03T22:08:58Z,2018-11-15T15:44:54Z
NL:S:30006067,onstreetTram,2018-11-15T10:23:06Z,Leidseplein,Leidsekade,Amsterdam,,adapted,NL:Q:30006089,Leidseplein,regular,available,120517,486260,0,Leidsekade,Y,Y,,,,langshalte,66.00,,,,true,false,true,true,true,true,0.24,1.90,3.00,61.00,1.90,true,true,true,5.00,3.00,0.15,true,false,L03,true,true,true,true,false,true,true,true,true,7,false,0,true,false,false,,2018-11-15T15:43:40Z,2015-05-03T22:08:58Z,2018-11-15T15:43:40Z
NL:S:30006067,onstreetTram,2018-11-15T10:23:06Z,Leidseplein,Leidseplein,Amsterdam,,adapted,NL:Q:30006067,Leidseplein,regular,available,120654,486388,0,Leidseplein,Y,U,,,,langshalte,59.00,,,,true,true,true,true,true,true,0.22,10.00,10.00,33.00,1.65,true,false,true,,,0.00,true,true,L03,true,true,true,true,false,true,true,true,true,,false,0,true,false,false,,2018-11-15T15:41:13Z,2015-05-03T22:08:58Z,2018-11-15T15:41:13Z
NL:S:30006071,onstreetTram,2018-11-15T10:23:06Z,Prinsengracht,Leidsestraat,Amsterdam,,adapted,NL:Q:30006071,Prinsengracht,regular,available,120768,486474,0,"Leidsestraat,Prinsengracht",N,N,,,,langshalte,30.00,,,,false,false,false,false,false,true,0.13,1.79,2.86,23.00,1.65,false,false,false,,,0.00,true,true,L03,true,false,true,true,false,true,false,true,true,3,false,0,true,false,false,,2018-11-15T15:46:12Z,2015-05-03T22:08:58Z,2018-11-15T15:46:11Z
NL:S:30006071,onstreetTram,2018-11-15T10:23:06Z,Prinsengracht,Leidsestraat,Amsterdam,,adapted,NL:Q:30006072,Prinsengracht,regular,available,120747,486463,0,"Leidsestraat, Prinsengracht",N,N,,,,langshalte,30.00,,,,false,false,false,false,false,true,0.10,1.93,2.97,22.00,1.70,false,false,false,,1.90,0.00,true,false,L03,true,true,true,true,false,true,true,true,true,7,false,0,true,false,false,,2018-11-15T15:46:12Z,2015-05-03T22:08:58Z,2018-11-15T15:46:12Z
NL:S:30006081,onstreetTram,2018-11-15T10:23:06Z,"Rhijnvis Feithstraat",Overtoom,Amsterdam,,adapted,NL:Q:30006081,"Rhijnvis Feithstraat",regular,available,119114,485819,0,Overtoom,N,N,,,,langshalte,76.00,,,,false,false,false,false,false,false,0.18,1.75,2.10,74.00,1.20,false,false,false,,2.10,0.16,true,true,L03,true,true,true,true,false,true,true,true,true,6,false,,true,false,false,,2018-11-15T15:46:12Z,2015-05-03T22:08:58Z,2018-11-15T15:46:12Z
NL:S:30006081,onstreetTram,2018-11-15T10:23:06Z,"Rhijnvis Feithstraat",Overtoom,Amsterdam,,adapted,NL:Q:30006082,"Rhijnvis Feithstraat",regular,available,119065,485790,0,Overtoom,N,N,,,,langshalte,65.00,,,,false,false,false,false,false,false,0.18,1.75,2.15,63.00,0.95,false,false,true,2.00,1.75,0.16,true,false,L03,true,true,true,true,false,true,true,true,true,,false,0,true,false,false,,2018-11-15T15:46:12Z,2015-05-03T22:08:58Z,2018-11-15T15:46:12Z
NL:S:30007002,onstreetTram,2018-11-15T10:23:06Z,"Van Baerlestraat","Van Baerlestraat",Amsterdam,,adapted,NL:Q:30007002,"Van Baerlestraat",regular,available,120333,485732,0,"Van Baerlestraat",N,N,,,,langshalte,63.00,,,,true,false,false,false,false,false,0.19,1.75,1.75,59.00,1.30,false,false,true,2.00,1.75,0.20,true,true,L03,true,true,true,false,true,true,true,true,true,3,false,,true,false,false,,2018-11-15T15:46:13Z,2015-05-03T22:08:58Z,2018-11-15T15:46:13Z
NL:S:30007002,onstreetTram,2018-11-15T10:23:06Z,"Van Baerlestraat","Jan Luijkenstraat",Amsterdam,,adapted,NL:Q:30007003,"Van Baerlestraat",regular,available,120317,485786,0,"Jan Luijkenstraat",N,N,,,,langshalte,62.00,,,,true,false,false,false,false,false,0.19,1.86,1.86,59.00,1.41,false,false,true,3.50,2.10,0.16,true,true,L03,true,true,true,false,true,true,true,true,true,3,false,0,true,false,false,,2018-11-15T15:46:13Z,2015-05-03T22:08:58Z,2018-11-15T15:46:13Z
NL:S:30007002,onstreetTram,2018-11-15T10:23:06Z,"Van Baerlestraat","Paulus Potterstraat",Amsterdam,,adapted,NL:Q:30007321,"Van Baerlestraat",regular,available,120379,485722,0,"Paulus Potterstraat, van baerlestraat",Y,N,,,,langshalte,99.00,,,,false,false,true,true,true,true,0.16,1.22,2.38,60.00,1.22,true,true,true,3.00,1.50,0.08,true,true,L03,true,true,true,true,false,true,true,true,true,5,false,0,true,false,false,,2018-11-15T15:46:13Z,2015-05-03T22:08:58Z,2018-11-15T15:46:13Z
