stopplacecode,stopplacetype,validfrom,publicname,street,town,stopplaceindication,stopplacestatus,quaycode,quayname,quaytype,quaystatus,rd-x,rd-y,level,location,visuallyaccessible,disabledaccessible-tram,disabledaccessible-bus,disabledaccessible-metro,disabledaccessible-ferry,quayshapetype,baylength,embaymentwidth,bayentranceangles,bayexitangles,markedkerb,lift,guidelines,groundsurfaceindicator,tactilegroundsurfaceindicator,stopplaceaccessroute,kerbheight,boardingpositionwidth,alightingpositionwidth,liftedpartlength,narrowestpassagewidth,fulllengthguideline,guidelinestopplaceconnection,ramp,ramplength,rampwidth,heightwithenvironment,stopsign,audiobutton,stopsigntype,shelter,shelterpublicity,illuminatedstop,seatavailable,leantosupport,timetableinformation,infounit,routenetworkmap,passengerinformationdisplay,passengerinformationdisplaytype,bicycleparking,numberofbicycleplaces,bins,ovccico,ovccharging,remarks,mutationdate,stopplace_mutationdate,quay_mutationdate
NL:S:58750470,onstreetBus,2014-07-31T15:49:00Z,"Eilandenbuurt Zuid",Tasmaniestraat,"Almere Buiten",,adapted,NL:Q:58750470,"Eilandenbuurt Zuid",regular,available,149591,489829,0,,Y,,Y,,,langshalte,18.20,,,,true,false,true,true,true,true,0.18,4.30,4.30,18.20,1.70,true,false,false,,,0.00,true,false,,true,false,true,true,,true,false,true,false,,true,10,true,false,false,,2015-05-04T14:29:07Z,2015-05-03T22:09:49Z,2015-05-03T23:51:06Z
NL:S:58750470,onstreetBus,2014-07-31T16:08:00Z,"Eilandenbuurt Zuid","OPENBAAR VERVOERBAAN","Almere Buiten",,adapted,NL:Q:58750480,"Eilandenbuurt Zuid",regular,available,149609,489890,0,,Y,,Y,,,langshalte,18.50,,,,true,false,true,true,true,true,0.18,4.10,4.10,18.50,1.80,true,false,false,,,0.00,true,false,,true,false,true,true,,true,false,true,false,,false,,false,false,false,,2015-05-04T14:29:07Z,2015-05-03T22:09:49Z,2016-02-05T15:28:03Z
NL:S:58420251,busStation,2018-11-15T01:00:00Z,"Station Poort",WINTERSPELENSTRAAT,"Almere Poort",,adapted,NL:Q:58420264,"Station Poort",regular,plan,139045,483970,0,,U,,U,,,unknown,0.00,,,,false,false,false,false,false,false,,,,,,false,false,false,,,,false,false,,false,false,false,false,false,false,false,false,false,,false,,false,false,false,,2018-11-20T09:55:00Z,2015-05-03T22:10:12Z,2018-11-20T09:55:00Z
NL:S:58420251,busStation,2014-07-31T14:29:00Z,"Station Poort",,"Almere Poort",,adapted,NL:Q:58420261,"Station Poort",regular,available,139078,483964,0,,Y,,Y,,,langshalte,15.10,,,,false,false,true,true,true,true,0.18,2.30,2.30,18.10,1.40,true,true,true,3.00,2.40,0.20,true,true,,true,false,true,true,,true,false,true,true,4,false,,true,false,false,,2015-05-04T14:28:47Z,2015-05-03T22:10:12Z,2015-05-03T23:50:25Z
NL:S:58420251,busStation,2018-11-15T01:00:00Z,"Station Poort",,"Almere Poort",,adapted,NL:Q:58420262,"Station Poort",regular,available,139080,483972,0,,Y,,Y,,,langshalte,13.70,,,,false,false,true,true,true,true,0.18,2.20,2.20,13.70,1.20,true,true,true,3.20,2.20,0.20,true,true,,true,false,true,true,false,true,false,true,true,4,false,,true,false,false,,2018-11-20T09:55:00Z,2015-05-03T22:10:12Z,2018-11-20T09:55:00Z
NL:S:58420251,busStation,2018-11-15T01:00:00Z,"Station Poort",,"Almere Poort",,adapted,NL:Q:58420263,"Station Poort",regular,available,139086,483927,0,,Y,,Y,,,langshalte,18.50,,,,false,false,true,true,true,true,0.18,3.00,3.00,18.50,1.70,true,true,true,3.00,2.80,0.20,false,true,,true,false,true,true,false,false,false,true,true,4,false,,true,false,false,,2018-11-20T09:55:00Z,2015-05-03T22:10:12Z,2018-11-20T09:55:00Z
NL:S:58420251,busStation,2014-07-31T14:43:00Z,"Station Poort",,"Almere Poort",,adapted,NL:Q:58420251,"Station Poort",regular,available,139077,483947,0,,Y,,Y,,,langshalte,18.70,,,,false,false,true,true,true,true,0.18,3.20,3.20,18.70,1.30,false,true,true,3.00,3.20,0.00,true,true,,true,false,true,true,,true,false,true,true,4,false,,true,false,false,,2015-05-04T14:28:46Z,2015-05-03T22:10:12Z,2015-05-03T23:50:25Z
NL:S:58420251,busStation,2018-11-15T01:00:00Z,"Station Poort",,"Almere Poort",,adapted,NL:Q:58420252,"Station Poort",regular,available,139075,483954,0,,Y,,Y,,,langshalte,18.50,,,,false,false,true,false,false,true,0.18,2.30,2.30,18.50,1.70,true,true,true,3.00,2.60,0.20,true,true,,true,false,true,true,false,true,false,true,true,4,false,,true,false,false,,2018-11-20T09:55:00Z,2015-05-03T22:10:12Z,2018-11-20T09:55:00Z
NL:S:58420251,busStation,2014-07-31T14:18:00Z,"Station Poort",,"Almere Poort",,adapted,NL:Q:58420253,"Station Poort",regular,available,139080,483932,0,,Y,,Y,,,langshalte,18.50,,,,false,false,true,true,true,true,0.18,3.00,3.00,18.50,1.90,true,true,true,3.00,2.90,0.20,false,true,,true,false,true,true,,true,false,true,true,4,false,,true,false,false,,2015-05-04T14:28:46Z,2015-05-03T22:10:12Z,2015-05-03T23:50:25Z
NL:S:58420251,busStation,2014-07-31T14:32:00Z,"Station Poort",,"Almere Poort",,adapted,NL:Q:58420254,"Station Poort",regular,available,139077,483938,0,,Y,,Y,,,langshalte,19.00,,,,false,false,true,true,true,true,0.18,3.20,3.20,19.00,1.90,true,true,true,3.00,3.20,0.20,true,true,,true,false,true,true,,false,false,true,true,4,false,,true,false,false,,2015-05-04T14:28:47Z,2015-05-03T22:10:12Z,2015-05-03T23:50:25Z
