stopplacecode,stopplacetype,validfrom,publicname,street,town,stopplaceindication,stopplacestatus,quaycode,quayname,quaytype,quaystatus,rd-x,rd-y,level,location,visuallyaccessible,disabledaccessible-tram,disabledaccessible-bus,disabledaccessible-metro,disabledaccessible-ferry,quayshapetype,baylength,embaymentwidth,bayentranceangles,bayexitangles,markedkerb,lift,guidelines,groundsurfaceindicator,tactilegroundsurfaceindicator,stopplaceaccessroute,kerbheight,boardingpositionwidth,alightingpositionwidth,liftedpartlength,narrowestpassagewidth,fulllengthguideline,guidelinestopplaceconnection,ramp,ramplength,rampwidth,heightwithenvironment,stopsign,audiobutton,stopsigntype,shelter,shelterpublicity,illuminatedstop,seatavailable,leantosupport,timetableinformation,infounit,routenetworkmap,passengerinformationdisplay,passengerinformationdisplaytype,bicycleparking,numberofbicycleplaces,bins,ovccico,ovccharging,remarks,mutationdate,stopplace_mutationdate,quay_mutationdate
NL:S:64111720,onstreetBus,2018-01-13T00:00:00Z,Bredalaan,"Noord Brabantlaan",Eindhoven,,adapted,NL:Q:64111990,Bredalaan,regular,available,158304,383450,0,,Y,,Y,,,langshalte,25.00,,,,false,false,true,false,false,false,0.18,3.30,3.30,25.00,1.20,false,true,false,,2.00,,true,false,,true,false,true,true,false,true,true,false,true,,false,0,true,false,false,,2018-01-19T14:23:52Z,2015-05-03T22:06:41Z,2018-11-28T16:55:18Z
NL:S:64111790,onstreetBus,2018-01-13T00:00:00Z,Beemdstraat/Hurksestraat,Beemdstraat,Eindhoven,,adapted,NL:Q:64111790,Beemdstraat/Hurksestraat,regular,available,159073,382131,0,,Y,,Y,,,haltehaven,23.00,3.00,23.00,22.00,true,false,true,false,false,false,0.18,1.50,1.50,23.00,0.70,false,true,false,,2.40,,true,false,,false,false,true,false,false,true,false,false,false,,false,0,true,false,false,,2018-01-19T14:23:50Z,2015-05-03T22:06:41Z,2018-11-28T16:55:17Z
NL:S:64111790,onstreetBus,2018-01-13T00:00:00Z,Beemdstraat/Hurksestraat,Beemdstraat,Eindhoven,,adapted,NL:Q:64111800,Beemdstraat/Hurksestraat,regular,available,159096,382121,0,,Y,,Y,,,haltehaven,22.00,3.00,23.00,21.00,true,false,true,false,false,false,0.18,2.70,2.70,22.00,1.20,false,false,false,,1.80,,true,false,,false,false,true,false,false,true,false,false,false,,false,0,true,false,false,,2018-01-19T14:23:50Z,2015-05-03T22:06:41Z,2018-11-28T16:55:17Z
NL:S:64111830,onstreetBus,2018-01-13T00:00:00Z,"Ergon/De Hurk",Rooijakkersstraat,Eindhoven,,adapted,NL:Q:64111830,"Ergon/De Hurk",regular,available,158993,382254,0,,Y,,Y,,,langshalte,12.00,,,,true,false,true,false,false,false,0.18,3.00,3.00,12.00,1.20,false,false,false,,1.20,,true,false,,true,false,true,true,false,true,false,false,true,,false,0,true,false,false,,2018-01-19T14:23:50Z,2015-05-03T22:06:42Z,2018-11-28T16:55:18Z
NL:S:64111830,onstreetBus,2018-01-13T00:00:00Z,"Ergon/De Hurk",Rooijakkersstraat,Eindhoven,,adapted,NL:Q:64111840,"Ergon/De Hurk",regular,available,158964,382251,0,,Y,,Y,,,langshalte,12.00,,,,true,false,true,false,false,true,0.18,3.00,3.00,12.00,1.50,false,false,false,,1.50,,false,false,,true,false,true,true,false,true,true,false,true,,false,0,true,false,false,,2018-01-19T14:23:51Z,2015-05-03T22:06:42Z,2018-11-28T16:55:18Z
NL:S:64111870,onstreetBus,2018-01-13T00:00:00Z,Meerenakkerweg,Meerenakkerweg,Eindhoven,,adapted,NL:Q:64111870,Meerenakkerweg,regular,available,158141,382206,0,,Y,,Y,,,haltehaven,20.00,3.00,23.00,17.00,true,false,true,false,false,false,0.18,2.40,2.40,20.00,1.10,false,false,false,,1.50,,true,false,,false,false,true,false,false,true,false,false,true,,false,0,true,false,false,,2018-01-19T14:23:51Z,2015-05-03T22:06:42Z,2018-11-28T16:55:18Z
NL:S:64111870,onstreetBus,2018-01-13T00:00:00Z,Meerenakkerweg,Meerenakkerweg,Eindhoven,,adapted,NL:Q:64111880,Meerenakkerweg,regular,available,158259,382146,0,,Y,,Y,,,haltehaven,18.00,3.00,24.00,18.00,true,false,true,false,false,true,0.18,1.80,1.80,18.00,1.50,false,false,false,,1.50,,true,false,,true,false,true,true,false,true,true,false,true,,false,0,true,false,false,,2018-01-19T14:23:51Z,2015-05-03T22:06:42Z,2018-11-28T16:55:18Z
NL:S:64117070,onstreetBus,2018-11-15T01:00:00Z,"Waterrijk Centrum",Waterlinie,Eindhoven,,adapted,NL:Q:64117070,"Waterrijk Centrum",regular,available,155676,383133,0,,N,,N,,,langshalte,15.00,,,,false,false,false,false,false,false,0.10,2.00,2.00,15.00,1.50,false,false,false,,,,true,false,,false,false,false,false,false,true,false,false,false,,false,0,false,false,false,,2018-11-20T09:56:23Z,2015-05-03T22:06:42Z,2018-11-20T09:56:22Z
NL:S:64117070,onstreetBus,2018-11-15T01:00:00Z,"Waterrijk Centrum",Waterlinie,Eindhoven,,adapted,NL:Q:64117080,"Waterrijk Centrum",regular,available,155687,383095,0,,N,,N,,,langshalte,12.00,,,,false,false,false,false,false,true,0.10,4.00,2.00,12.00,1.50,false,false,false,,2.20,,true,false,,false,false,true,false,false,true,false,false,false,,false,0,false,false,false,,2018-11-20T09:56:23Z,2015-05-03T22:06:42Z,2018-11-20T09:56:23Z
NL:S:64118390,onstreetBus,2018-01-13T00:00:00Z,Landforum,Graslinnen,Eindhoven,,adapted,NL:Q:64118390,Landforum,regular,available,157040,382889,0,,Y,,Y,,,langshalte,15.00,,,,true,false,true,false,false,false,0.18,3.50,3.50,15.00,1.20,false,true,false,,2.00,,true,false,,true,false,true,true,false,true,true,false,true,,false,0,true,false,false,,2018-01-19T14:24:08Z,2015-05-03T22:06:42Z,2018-11-28T16:55:27Z
